,Date,Description,Location
207,1/30/2022 7:46,House/business check,500 BLOCK W CHURCH ST
208,1/30/2022 7:45,Hold-up alarm,4400 BLOCK 35TH ST
209,1/30/2022 7:44,Suspicious person,800 BLOCK W SOUTH ST
210,1/30/2022 7:33,Designated Patrol Area - available,9000 BLOCK JEFF FUQUA BLVD N
211,1/30/2022 7:24,Accident (injuries),S JOHN YOUNG PKWY / COLUMBIA ST
212,1/30/2022 7:13,Commercial alarm,5500 BLOCK S SEMORAN BLVD
213,1/30/2022 7:02,Drug violation,9400 BLOCK JEFF FUQUA BLVD
214,1/30/2022 6:59,Trespasser,5500 BLOCK PERSHING AVE
215,1/30/2022 6:34,Accident (minor),S KIRKMAN RD / CONROY RD
216,1/30/2022 6:32,Designated Patrol Area - available,5500 BLOCK CARGO RD
217,1/30/2022 6:05,Check the well being of,5700 BLOCK HAZELTINE NATIONAL DR
218,1/30/2022 10:53,Battery - fight in progress,2800 BLOCK E COLONIAL DR
219,1/30/2022 10:50,Threats/assaults - armed,6200 BLOCK RALEIGH ST
220,1/30/2022 10:40,Drug violation,1700 BLOCK S HIAWASSEE RD
221,1/30/2022 10:38,General disturbance,1100 BLOCK MAURY RD
222,1/30/2022 10:35,Hit and run (minor),2700 BLOCK S ORANGE AVE
223,1/30/2022 10:32,Commercial B&E,1900 BLOCK MONTE CARLO TRL
224,1/30/2022 10:32,Domestic disturbance,Restricted Address
225,1/30/2022 10:26,Recovered stolen vehicle,1200 BLOCK MABLE BUTLER AVE
226,1/30/2022 10:25,Accident (minor),400 BLOCK N MAGNOLIA AVE
227,1/30/2022 10:25,House/business check,500 BLOCK RIDGEWOOD ST
228,1/30/2022 10:22,Attempted rape,Restricted Address
229,1/30/2022 9:57,General disturbance,7400 BLOCK UNIVERSAL BLVD
230,1/30/2022 9:57,Battery,6400 BLOCK RALEIGH ST
231,1/30/2022 9:51,Battery,2800 BLOCK E COLONIAL DR
232,1/30/2022 9:41,Domestic disturbance,Restricted Address
233,1/30/2022 9:37,Designated Patrol Area - available,NOT AVAILABLE
234,1/30/2022 9:19,Designated Patrol Area - available,TERMINAL C SERVICE RD
235,1/30/2022 8:54,Suspicious person,S PARRAMORE AVE / LONG ST
236,1/30/2022 8:42,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD N
237,1/30/2022 8:31,Vandalism/criminal mischief,300 BLOCK N LEE AVE
238,1/30/2022 15:29,Suspicious incident,3400 BLOCK WELLS ST
239,1/30/2022 15:24,Accident (minor),6200 BLOCK RALEIGH ST
240,1/30/2022 15:21,General disturbance,2400 BLOCK S KIRKMAN RD
241,1/30/2022 15:18,Accident with road blockage,L B MCLEOD RD / S KIRKMAN RD
242,1/30/2022 15:14,Reckless vehicle,S SEMORAN BLVD / CURRY FORD RD
243,1/30/2022 15:08,Domestic disturbance,Restricted Address
244,1/30/2022 15:08,General disturbance,4000 BLOCK S SEMORAN BLVD
245,1/30/2022 15:03,Disabled occupied vehicle,MARKET PLACE DR / S GOLDENROD RD
246,1/30/2022 15:01,General investigation,9400 BLOCK JEFF FUQUA BLVD
247,1/30/2022 14:49,Hit and run (minor),N HYER AVE / E AMELIA ST
248,1/30/2022 14:41,Suspicious person,3200 BLOCK W COLONIAL DR
249,1/30/2022 14:36,Stolen vehicle,9900 BLOCK DOWDEN RD
250,1/30/2022 14:29,Accident (minor),6500 BLOCK ADVENTURE WAY
251,1/30/2022 14:25,Threats/assaults - armed,W ANDERSON ST / BOONE AVE
252,1/30/2022 13:53,Stolen vehicle,800 BLOCK W JACKSON ST
253,1/30/2022 13:51,Door alarm,10200 BLOCK JEFF FUQUA BLVD
254,1/30/2022 13:22,Battery - shooting,1700 BLOCK W WASHINGTON ST
255,1/30/2022 13:20,Vehicle B&E,3300 BLOCK LIPSCOMB PL
256,1/30/2022 13:14,Accident (injuries),100 BLOCK W LIVINGSTON ST
257,1/30/2022 13:05,Accident (minor),RALEIGH ST / S HIAWASSEE RD
258,1/30/2022 21:54,House/business check,COLUMBIA / AVONDALE AVE
259,1/30/2022 21:52,Suspicious vehicle,WASHINGTON/COURT
260,1/30/2022 21:51,Commercial alarm,1 BLOCK N TEXAS AVE
261,1/30/2022 21:50,House/business check,1 BLOCK E CENTRAL BLVD
262,1/30/2022 21:39,Drunk pedestrian,2600 BLOCK E COLONIAL DR
263,1/30/2022 21:38,Battery,3700 BLOCK STARKS ST
264,1/30/2022 21:35,Commercial alarm,700 BLOCK HERNDON AVE
265,1/30/2022 21:34,Suspicious person,5600 BLOCK UNIVERSAL BLVD
266,1/30/2022 21:27,Rape,Restricted Address
267,1/30/2022 21:24,General disturbance,6900 BLOCK S KIRKMAN RD
268,1/30/2022 21:23,911 hang up,6100 BLOCK LAKE UNDERHILL RD
