,Date,Description,Location
2166,3/14/2022 21:39,Illegally parked cars,N MAGNOLIA AVE / E CENTRAL BLVD
2167,3/14/2022 21:20,Commercial alarm,1900 BLOCK N MILLS AVE
2168,3/14/2022 21:18,Person robbery,4400 BLOCK BEAUMONT DR
2169,3/14/2022 21:15,Domestic disturbance,Restricted Address
2170,3/14/2022 21:09,Other sex crimes,Restricted Address
2171,3/14/2022 21:08,Accident (injuries),9400 BLOCK JEFF FUQUA BLVD
2172,3/14/2022 20:58,General disturbance,5200 BLOCK N ORANGE BLOSSOM TRL
2173,3/14/2022 20:23,Theft,3800 BLOCK S SEMORAN BLVD
2174,3/14/2022 20:08,Suspicious person,1200 BLOCK W CENTRAL BLVD
2175,3/14/2022 19:39,Stolen/lost tag,W SOUTH ST / S LEE AVE
2176,3/15/2022 6:06,Direct traffic,9300 BLOCK JEFF FUQUA BLVD
2177,3/15/2022 5:48,General investigation,"2500 BLOCK W COLONIAL DR, ORLANDO"
2178,3/15/2022 5:45,House/business check,1600 BLOCK HILLCREST ST
2179,3/15/2022 0:12,Battery - shooting,1400 BLOCK MERCY DR
2180,3/14/2022 22:44,Accident (minor),6300 BLOCK RALEIGH ST
2181,3/15/2022 18:43,Accident (minor),9300 BLOCK JEFF FUQUA BLVD
2182,3/15/2022 18:43,Suspicious person,700 BLOCK EASY AVE
2183,3/15/2022 18:42,General disturbance,500 BLOCK FERGUSON DR
2184,3/15/2022 18:39,Check the well being of,5600 BLOCK MAJOR BLVD
2185,3/15/2022 18:34,Battery,300 BLOCK N ORANGE AVE
2186,3/15/2022 18:32,Domestic disturbance,Restricted Address
2187,3/15/2022 18:22,Illegally parked cars,UPPER CARREL CIR / STODDART AVE
2188,3/15/2022 18:21,General investigation,5500 BLOCK DEL VERDE WAY
2189,3/15/2022 18:19,House/business check,SILVER STAR RD / DARDANELLE DR
2190,3/15/2022 18:13,Suspicious incident,2400 BLOCK CONWAY RD
2191,3/15/2022 18:13,General disturbance,3300 BLOCK ECCLESTON ST
2192,3/15/2022 18:06,Drunk pedestrian,9700 BLOCK JEFF FUQUA BLVD
2193,3/15/2022 18:06,Designated Patrol Area - available,SOUTH/ROSALIND
2194,3/15/2022 18:01,Accident (minor),N HUGHEY AVE / W COLONIAL DR
2195,3/15/2022 17:58,Theft by shoplifting,4700 BLOCK S GOLDENROD RD
2196,3/15/2022 17:57,Attempted suicide,Restricted Address
2197,3/15/2022 17:38,Theft by shoplifting,3100 BLOCK W PRINCETON ST
2198,3/15/2022 17:31,Attempted suicide,Restricted Address
2199,3/15/2022 17:17,Suspicious person,OSSIE ST / N TERRY AVE
2200,3/15/2022 17:16,Fugitive from justice,E WASHINGTON ST / N COURT AVE
2201,3/15/2022 16:49,Accident with road blockage,CONROY RD / VINELAND RD
2202,3/15/2022 16:44,Accident (injuries),W MICHIGAN ST / I-4 E
2203,3/15/2022 16:33,Theft by shoplifting,3500 BLOCK GARDENS RIDGE WAY
2204,3/15/2022 14:37,Stolen vehicle,5900 BLOCK AMERICAN WAY
2205,3/15/2022 14:34,Non-emergency assistance,1 BLOCK N TERRY AVE
2206,3/15/2022 21:56,Obscene/harassing phone calls,1600 BLOCK SANDY POINT SQ
2207,3/15/2022 21:54,Commercial alarm,7400 BLOCK KINGSPOINTE PKWY
2208,3/15/2022 21:52,General investigation,400 BLOCK N ORANGE BLOSSOM TRL
2209,3/15/2022 21:42,Theft,4500 BLOCK S SEMORAN BLVD
2210,3/15/2022 21:36,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2211,3/15/2022 21:32,Missing person - juvenile,4600 BLOCK CASON COVE DR
2212,3/15/2022 21:28,Battery,5400 BLOCK MILLENIA LAKES BLVD
2213,3/15/2022 21:20,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2214,3/15/2022 21:17,Ambulance escort,9100 BLOCK JEFF FUQUA BLVD
2215,3/15/2022 21:13,Accident with road blockage,LAKE NONA BLVD / SR 417 OFF RAMP N
2216,3/15/2022 21:11,Accident (injuries),EDGEWATER DR / W YALE ST
2217,3/15/2022 20:51,Non-emergency assistance,5400 BLOCK MILLENIA LAKES BLVD
2218,3/15/2022 20:50,Illegally parked cars,4400 BLOCK NORTH LN
2219,3/15/2022 20:40,Vehicle B&E,4500 BLOCK CURRY FORD RD
2220,3/15/2022 20:31,Missing person - juvenile,N JOHN YOUNG PKWY / SILVER STAR RD
2221,3/15/2022 20:26,Theft,3700 BLOCK CURRY FORD RD
2222,3/15/2022 20:25,Stolen/lost tag,1200 BLOCK W COLONIAL DR
2223,3/15/2022 19:40,Battery,7700 BLOCK LAKE UNDERHILL RD
2224,3/15/2022 19:38,Theft by shoplifting,13900 BLOCK NARCOOSSEE RD
2225,3/15/2022 18:29,General disturbance,3300 BLOCK ECCLESTON ST
2226,3/16/2022 6:38,House/business check,400 BLOCK N JOHN YOUNG PKWY
2227,3/16/2022 6:34,Hit and run (minor),TURKEY LAKE RD / UNIVERSAL STUDIOS PLZ
2228,3/16/2022 6:28,House/business check,E COLONIAL DR / COY DR
2229,3/16/2022 6:23,Vandalism/criminal mischief,4700 BLOCK WALDEN CIR
2230,3/16/2022 6:22,Residential alarm,5700 BLOCK LAKE MELROSE DR
2231,3/16/2022 6:21,Prostitution,700 BLOCK EASY AVE
2232,3/16/2022 6:19,Unknown trouble,10700 BLOCK NARCOOSSEE RD
2233,3/16/2022 6:13,Man down,N MILLS AVE / E ROLLINS ST
2234,3/16/2022 6:03,Suspicious person,9300 BLOCK JEFF FUQUA BLVD
2235,3/16/2022 5:57,Accident (minor),EDGEWATER DR / LAKEVIEW ST
2236,3/16/2022 5:50,Suspicious vehicle,VISTA RESERVE BLVD / LEEVISTA BLVD
2237,3/16/2022 5:48,Stolen vehicle,3500 BLOCK RIO VISTA AVE
2238,3/16/2022 5:44,Commercial alarm,4100 BLOCK MILLENIA BLVD
2239,3/16/2022 18:02,Accident (minor),TRADEPORT DR / DENTON HALL RD
2240,3/16/2022 18:02,Fraud-counterfeit,6000 BLOCK UNIVERSAL BLVD
2241,3/16/2022 18:01,General investigation,9300 BLOCK JEFF FUQUA BLVD
2242,3/16/2022 17:59,General disturbance,9100 BLOCK JEFF FUQUA BLVD
2243,3/16/2022 17:59,Battery,1000 BLOCK W WASHINGTON ST
2244,3/16/2022 17:55,General investigation,9400 BLOCK JEFF FUQUA BLVD
2245,3/16/2022 17:51,Mentally-ill person (non-violent),1800 BLOCK MERCY DR
2246,3/16/2022 17:49,Hit and run (minor),5200 BLOCK INTERNATIONAL DR
2247,3/16/2022 17:47,Theft,11900 BLOCK NARCOOSSEE RD
2248,3/16/2022 17:45,Accident (injuries),100 BLOCK N PARRAMORE AVE
2249,3/16/2022 17:41,Theft by shoplifting,3100 BLOCK W PRINCETON ST
2250,3/16/2022 17:35,Battery,2900 BLOCK UPPER PARK RD
2251,3/16/2022 17:31,Stolen vehicle,1600 BLOCK W CENTRAL BLVD
2252,3/16/2022 17:30,Stolen vehicle,1000 BLOCK COLYER ST
2253,3/16/2022 17:26,Non-emergency assistance,1600 BLOCK S KIRKMAN RD
2254,3/16/2022 17:17,Theft by shoplifting,3100 BLOCK W PRINCETON ST
2255,3/16/2022 17:17,Drug violation,S PARRAMORE AVE / W GORE ST
2256,3/16/2022 17:12,Accident (minor),3200 BLOCK CURRY FORD RD
2257,3/16/2022 17:04,Accident (minor),S SEMORAN BLVD / E MICHIGAN ST
2258,3/16/2022 17:00,Suspicious vehicle,10100 BLOCK LAKE DISTRICT LN
2259,3/16/2022 16:55,Accident (minor),S KIRKMAN RD / WESTGATE BLVD
2260,3/16/2022 16:48,Accident (minor),1 BLOCK
2261,3/16/2022 16:37,Suspicious incident,3500 BLOCK CONROY RD
2262,3/16/2022 16:35,Stolen vehicle,6700 BLOCK GRAND NATIONAL DR
2263,3/16/2022 16:30,Accident (minor),LAKE UNDERHILL RD / S SEMORAN BLVD
2264,3/16/2022 16:17,Theft,9300 BLOCK JEFF FUQUA BLVD
2265,3/16/2022 16:17,General investigation,1200 BLOCK W SOUTH ST
2266,3/16/2022 15:50,Domestic disturbance,Restricted Address
2267,3/16/2022 15:48,Accident (injuries),10200 BLOCK JEFF FUQUA BLVD
2268,3/16/2022 15:26,General disturbance,3900 BLOCK W D JUDGE DR
2269,3/16/2022 14:58,Hit and run (minor),E COLONIAL DR / N MILLS AVE
2270,3/16/2022 14:49,Community Orientated Policing detail,1400 BLOCK MERCY DR
2271,3/16/2022 13:56,Stolen vehicle,N ORANGE BLOSSOM TRL / WINTER ROSE DR
2272,3/16/2022 13:16,Accident (minor),E COLONIAL DR / N PRIMROSE DR
2273,3/16/2022 21:36,General disturbance,3100 BLOCK W PRINCETON ST
2274,3/16/2022 21:36,House/business check,BENNETT RD / E COLONIAL DR
2275,3/16/2022 21:33,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2276,3/16/2022 21:31,Vehicle B&E,3900 BLOCK ROSEWOOD WAY
2277,3/16/2022 21:30,Theft by shoplifting,4600 BLOCK GARDENS PARK BLVD
2278,3/16/2022 21:30,Trespasser,6000 BLOCK UNIVERSAL BLVD
2279,3/16/2022 21:27,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2280,3/16/2022 21:21,Mentally-ill person (non-violent),6200 BLOCK INTERNATIONAL DR
2281,3/16/2022 21:17,General disturbance,900 BLOCK S KIRKMAN RD
2282,3/16/2022 21:14,General disturbance,4700 BLOCK N PINE HILLS RD
2283,3/16/2022 21:11,Disabled occupied vehicle,GOAA
2284,3/16/2022 21:09,Accident (minor),TRADEPORT DR / S ORANGE AVE
2285,3/16/2022 21:08,House/business check,5100 BLOCK INTERNATIONAL DR
2286,3/16/2022 21:03,General disturbance,6000 BLOCK WABASH RD
2287,3/16/2022 21:03,Theft by shoplifting,3100 BLOCK W PRINCETON ST
2288,3/16/2022 21:00,Accident (minor),GOAA E30
2289,3/16/2022 20:58,Stolen vehicle,3500 BLOCK OLD WINTER GARDEN RD
2290,3/16/2022 20:52,Accident (minor),SILVERTON ST / W COLONIAL DR
2291,3/16/2022 20:39,Domestic disturbance,Restricted Address
2292,3/16/2022 20:36,Suspicious person,1700 BLOCK LUCERNE TER
2293,3/16/2022 20:32,General disturbance,3900 BLOCK W D JUDGE DR
2294,3/16/2022 20:32,Accident (minor),COLUMBIA ST / S ORANGE AVE
2295,3/16/2022 20:29,House/business check,S SEMORAN BLVD / PERSHING AVE
2296,3/16/2022 20:27,Disabled occupied vehicle,9400 BLOCK JEFF FUQUA BLVD N
2297,3/16/2022 20:16,Commercial B&E,800 BLOCK E ROLLINS ST
2298,3/16/2022 20:04,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2299,3/16/2022 19:57,Domestic disturbance,Restricted Address
2300,3/16/2022 19:26,Accident (injuries),1400 BLOCK W COLONIAL DR
2301,3/16/2022 19:16,Suspicious person,6400 BLOCK RALEIGH ST
2302,3/16/2022 19:12,Theft,6000 BLOCK UNIVERSAL BLVD
2303,3/16/2022 19:10,Domestic disturbance,Restricted Address
2304,3/16/2022 19:02,Accident (minor),NOT AVAILABLE
2305,3/17/2022 6:32,Prostitution,700 BLOCK EASY AVE
2306,3/17/2022 6:30,General investigation,9400 BLOCK JEFF FUQUA BLVD
2307,3/17/2022 6:29,911 hang up,9600 BLOCK JEFF FUQUA BLVD
2308,3/17/2022 6:29,House/business check,COY DR / E COLONIAL DR
2309,3/17/2022 6:27,Domestic disturbance,Restricted Address
2310,3/17/2022 6:22,Accident (minor),3000 BLOCK DIRECTORS ROW
2311,3/17/2022 6:21,Community Orientated Policing detail,9300 BLOCK JEFF FUQUA BLVD
2312,3/17/2022 6:16,Suspicious person,200 BLOCK SILVERTON ST
2313,3/17/2022 6:14,Suspicious person,9300 BLOCK JEFF FUQUA BLVD
2314,3/17/2022 6:00,Stolen vehicle,5400 BLOCK MILLENIA LAKES BLVD
2315,3/17/2022 5:41,Battery,7300 BLOCK UNIVERSAL BLVD
2316,3/17/2022 5:35,Suspicious vehicle,4400 BLOCK PARK LAKE ST
2317,3/17/2022 4:35,Domestic disturbance,Restricted Address
2318,3/17/2022 3:57,Weapons/armed,9300 BLOCK JEFF FUQUA BLVD
2319,3/17/2022 0:03,General disturbance - armed,5600 BLOCK BLUE SHADOWS CT
2320,3/16/2022 23:49,Battery,5900 BLOCK AMERICAN WAY
2321,3/16/2022 23:26,Hit and run (minor),2300 BLOCK S KIRKMAN RD
2322,3/16/2022 22:43,Accident (minor),1 BLOCK
2323,3/17/2022 16:50,Trespasser,700 BLOCK S PARRAMORE AVE
2324,3/17/2022 16:48,Unknown trouble,S KIRKMAN RD / CONROY RD
2325,3/17/2022 16:44,Missing person - juvenile,4200 BLOCK CONROY RD
2326,3/17/2022 16:44,Non-emergency assistance,3100 BLOCK WALNUT ST
2327,3/17/2022 16:38,General disturbance,1600 BLOCK S KIRKMAN RD
2328,3/17/2022 16:35,Suspicious person,4100 BLOCK KALWIT LN
2329,3/17/2022 16:35,Battery,W PINE ST / S NASHVILLE AVE
2330,3/17/2022 16:34,General investigation,GOA OPD
2331,3/17/2022 16:31,Trespasser,400 BLOCK N ORANGE AVE
2332,3/17/2022 16:30,Commercial alarm,3800 BLOCK CENTER LOOP
2333,3/17/2022 16:26,House/business check,W PINE ST / S TERRY AVE
2334,3/17/2022 16:24,Mentally-ill person (non-violent),4600 BLOCK S KIRKMAN RD
2335,3/17/2022 16:23,Lost/found property,6200 BLOCK PERSHING AVE
2336,3/17/2022 16:20,Accident (minor),500 BLOCK VIRGINIA DR
2337,3/17/2022 16:18,Commercial B&E,200 BLOCK S RIO GRANDE AVE
2338,3/17/2022 16:15,General disturbance,9100 BLOCK JEFF FUQUA BLVD
2339,3/17/2022 16:12,Suspicious person,9700 BLOCK JEFF FUQUA BLVD
2340,3/17/2022 16:11,General investigation,9400 BLOCK JEFF FUQUA BLVD
2341,3/17/2022 16:09,Suspicious incident,11900 BLOCK NARCOOSSEE RD
2342,3/17/2022 16:08,Vehicle B&E,700 BLOCK N ORANGE AVE
2343,3/17/2022 16:07,General disturbance,4100 BLOCK EASTGATE DR
2344,3/17/2022 16:04,Drug violation,N PARRAMORE AVE / W ROBINSON ST
2345,3/17/2022 16:03,Unknown trouble,2000 BLOCK MERCY DR
2346,3/17/2022 16:01,Accident (minor),W SAND LAKE RD / UNIVERSAL BLVD
2347,3/17/2022 15:57,Accident (minor),UNIVERSAL BLVD / I-4 E
2348,3/17/2022 15:52,Fraud-counterfeit,4500 BLOCK GARDENS PARK BLVD
2349,3/17/2022 15:51,House/business check,N PRIMROSE DR / E COLONIAL DR
2350,3/17/2022 15:40,Suspicious person,4500 BLOCK S SEMORAN BLVD
2351,3/17/2022 15:39,Suspicious incident,5600 BLOCK CURRY FORD RD
2352,3/17/2022 15:37,Illegally parked cars,900 BLOCK S KIRKMAN RD
2353,3/17/2022 15:35,Hold-up alarm,2300 BLOCK S KIRKMAN RD
2354,3/17/2022 15:30,Unknown trouble,6400 BLOCK RALEIGH ST
2355,3/17/2022 15:21,Theft,5900 BLOCK UNIVERSAL BLVD
2356,3/17/2022 15:18,Domestic disturbance,Restricted Address
2357,3/17/2022 15:18,General investigation,1200 BLOCK W SOUTH ST
2358,3/17/2022 14:14,Stolen vehicle,900 BLOCK W COLONIAL DR
2359,3/17/2022 14:05,Suspicious incident,4600 BLOCK S KIRKMAN RD
2360,3/17/2022 13:57,Fraud-counterfeit,6000 BLOCK WESTGATE DR
2361,3/17/2022 12:25,Vehicle B&E,1000 BLOCK W CHURCH ST
2362,3/17/2022 11:58,Vehicle B&E,1 BLOCK S OSCEOLA AVE
2363,3/17/2022 8:46,Vehicle B&E,1 BLOCK S OSCEOLA AVE
2364,3/17/2022 21:53,Commercial alarm,3600 BLOCK E COLONIAL DR
2365,3/17/2022 21:53,Commercial alarm,3100 BLOCK S ORANGE AVE
2366,3/17/2022 21:50,Attempted suicide,Restricted Address
2367,3/17/2022 21:47,Lost/found property,9100 BLOCK JEFF FUQUA BLVD
2368,3/17/2022 21:45,Trespasser,3900 BLOCK W D JUDGE DR
2369,3/17/2022 21:44,Disabled occupied vehicle,CONWAY RD / E MICHIGAN ST
2370,3/17/2022 21:36,Noise ordinance violation,500 BLOCK CONWAY RD
2371,3/17/2022 21:30,House/business check,N ORANGE BLOSSOM TRL / W PRINCETON ST
2372,3/17/2022 21:19,Commercial alarm,500 BLOCK N MILLS AVE
2373,3/17/2022 21:05,Lost/found property,5900 BLOCK UNIVERSAL BLVD
2374,3/17/2022 21:04,Domestic disturbance,Restricted Address
2375,3/17/2022 20:57,Suspicious person,400 BLOCK N ORANGE AVE
2376,3/17/2022 20:51,Suspicious incident,6100 BLOCK S SEMORAN BLVD
2377,3/17/2022 20:41,Battery,6000 BLOCK UNIVERSAL BLVD
2378,3/17/2022 20:34,Stolen vehicle,9200 BLOCK JEFF FUQUA BLVD
2379,3/17/2022 20:16,Suspicious person,600 BLOCK W CHURCH ST
2380,3/17/2022 19:26,General disturbance,900 BLOCK S GOLDWYN AVE
2381,3/18/2022 6:48,Accident (minor),S JOHN YOUNG PKWY / I-4 ON RAMP E
2382,3/18/2022 6:46,Trespasser,1 BLOCK W SOUTH ST
2383,3/18/2022 6:46,House/business check,1300 BLOCK EDGEWATER DR
2384,3/18/2022 6:36,Accident (injuries),1 BLOCK
2385,3/18/2022 6:30,Weapons/armed,9400 BLOCK JEFF FUQUA BLVD
2386,3/18/2022 6:24,Commercial alarm,3800 BLOCK E COLONIAL DR
2387,3/18/2022 6:21,Stolen vehicle,S PARRAMORE AVE / GRAND ST
2388,3/18/2022 5:41,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
2389,3/18/2022 5:15,Commercial alarm,8700 BLOCK LEEVISTA BLVD
2390,3/18/2022 4:25,Battery,3900 BLOCK WELLS ST
2391,3/18/2022 2:58,General disturbance,3900 BLOCK VERSAILLES DR
2392,3/18/2022 2:48,Drunk driver,CURRY FORD RD / CONWAY RD
2393,3/18/2022 17:49,Vandalism/criminal mischief,5400 BLOCK CINDERLANE PKWY
2394,3/18/2022 17:49,Residential alarm,1300 BLOCK EASTIN AVE
2395,3/18/2022 17:49,Battery,400 BLOCK N ORANGE BLOSSOM TRL
2396,3/18/2022 17:48,Domestic disturbance,Restricted Address
2397,3/18/2022 17:43,Accident (injuries),CONROY RD / VINELAND RD
2398,3/18/2022 17:42,Commercial alarm,4500 BLOCK S KIRKMAN RD
2399,3/18/2022 17:41,General disturbance,900 BLOCK S ORANGE AVE
2400,3/18/2022 17:40,Suspicious person,800 BLOCK DELANEY AVE
2401,3/18/2022 17:36,Commercial B&E,3800 BLOCK S SEMORAN BLVD
2402,3/18/2022 17:32,Accident (minor),5200 BLOCK INTERNATIONAL DR
2403,3/18/2022 17:31,Fugitive from justice,800 BLOCK W CENTRAL BLVD
2404,3/18/2022 17:29,Fugitive from justice,800 BLOCK W CENTRAL BLVD
2405,3/18/2022 17:29,Suspicious incident,5100 BLOCK CYPRESS CREEK DR
2406,3/18/2022 17:25,General disturbance,S JOHN YOUNG PKWY / MILLENIA BLVD
2407,3/18/2022 17:25,Suspicious person,COLUMBIA ST / BRUTON BLVD
2408,3/18/2022 17:17,Sick or injured person,Restricted Address
2409,3/18/2022 17:17,Lost/found property,9400 BLOCK JEFF FUQUA BLVD
2410,3/18/2022 17:10,Battery,3100 BLOCK W PRINCETON ST
2411,3/18/2022 17:04,Mentally-ill person (violent),1 BLOCK W MILLER ST
2412,3/18/2022 16:53,Trespasser,5900 BLOCK UNIVERSAL BLVD
2413,3/18/2022 16:43,Accident (injuries),W COLONIAL DR / N TAMPA AVE
2414,3/18/2022 16:39,Trespasser,400 BLOCK N GARLAND AVE
2415,3/18/2022 16:35,Accident (minor),1 BLOCK W MICHIGAN ST
2416,3/18/2022 16:27,Battery,800 BLOCK RANDALL ST
2417,3/18/2022 16:17,Missing person - adult,5000 BLOCK NEPONSET AVE
2418,3/18/2022 16:14,Theft,8100 BLOCK LEEVISTA BLVD
2419,3/18/2022 16:12,Theft,4600 BLOCK ROSE CORAL DR
2420,3/18/2022 15:50,Theft,6000 BLOCK UNIVERSAL BLVD
2421,3/18/2022 15:28,Vehicle B&E,14800 BLOCK NARCOOSSEE RD
2422,3/18/2022 15:13,Stolen vehicle,5200 BLOCK INTERNATIONAL DR
2423,3/18/2022 14:26,Accident (general disturbance),1 BLOCK
2424,3/18/2022 13:55,Theft by shoplifting,5200 BLOCK INTERNATIONAL DR
2425,3/18/2022 22:04,Child neglect,Restricted Address
2426,3/18/2022 22:03,Suspicious vehicle,5100 BLOCK NORTH LN
2427,3/18/2022 22:02,Stolen vehicle,3900 BLOCK S SEMORAN BLVD
2428,3/18/2022 22:02,Child neglect,Restricted Address
2429,3/18/2022 22:00,Trespasser,4100 BLOCK E COLONIAL DR
2430,3/18/2022 22:00,General disturbance,9300 BLOCK JEFF FUQUA BLVD
2431,3/18/2022 21:49,Missing person - juvenile,1100 BLOCK DELANEY AVE
2432,3/18/2022 21:45,Attempted suicide,Restricted Address
2433,3/18/2022 21:41,Suspicious incident,900 BLOCK W COLONIAL DR
2434,3/18/2022 21:39,General disturbance,8500 BLOCK TAVISTOCK LAKES BLVD
2435,3/18/2022 21:27,Unknown trouble,700 BLOCK MAGUIRE BLVD
2436,3/18/2022 21:08,Recovered stolen vehicle,S LEE AVE / W JACKSON ST
2437,3/18/2022 20:34,Vehicle B&E,4500 BLOCK HOLLY TREE CT
2438,3/18/2022 20:28,Hit and run (minor),8900 BLOCK HANGAR BLVD
2439,3/18/2022 20:28,Theft by shoplifting,4100 BLOCK CONROY RD
2440,3/18/2022 20:10,911 hang up,6400 BLOCK S GOLDENROD RD
2441,3/18/2022 20:00,Suspicious person,9200 BLOCK JEFF FUQUA BLVD
2442,3/18/2022 19:48,Threats/assaults - armed,2500 BLOCK LAKE DEBRA DR
2443,3/18/2022 19:27,Battery - shooting,4800 BLOCK ROSE BAY DR
2444,3/18/2022 18:41,Battery,100 BLOCK E CENTRAL BLVD
2445,3/18/2022 18:06,Suspicious vehicle,HAGE WAY / WELLS ST
2446,3/18/2022 18:02,Battery,4400 BLOCK N PINE HILLS RD
2447,3/19/2022 10:52,Unknown trouble,5100 BLOCK MILLENIA BLVD
2448,3/19/2022 10:50,Vehicle B&E,5200 BLOCK WELLINGTON PARK CIR
2449,3/19/2022 10:50,Check the well being of,100 BLOCK E SPRUCE ST
2450,3/19/2022 10:48,Ambulance escort,9700 BLOCK JEFF FUQUA BLVD
2451,3/19/2022 10:33,Theft,5600 BLOCK WINDHOVER DR
2452,3/19/2022 10:31,Illegally parked cars,4800 BLOCK ROSE BAY DR
2453,3/19/2022 10:17,Check the well being of,5300 BLOCK LIGHTHOUSE RD
2454,3/19/2022 10:12,Unknown trouble,1200 BLOCK W COLONIAL DR
2455,3/19/2022 9:50,Theft by shoplifting,2500 BLOCK S KIRKMAN RD
2456,3/19/2022 9:23,General disturbance,1 BLOCK E COLONIAL DR
2457,3/19/2022 9:07,Suspicious incident,9400 BLOCK RANDAL PARK BLVD
2458,3/19/2022 8:38,Recovered missing person,500 BLOCK N JOHN YOUNG PKWY
2459,3/19/2022 7:35,Stolen vehicle,6500 BLOCK S SEMORAN BLVD
2460,3/19/2022 14:12,Battery,6900 BLOCK CLARCONA OCOEE RD
2461,3/19/2022 14:11,Theft by shoplifting,2700 BLOCK E COLONIAL DR
2462,3/19/2022 14:11,Commercial robbery,4900 BLOCK INTERNATIONAL DR
2463,3/19/2022 14:09,Suspicious incident,1000 BLOCK S HIAWASSEE RD
2464,3/19/2022 14:02,Illegally parked cars,BALD CYPRESS ST / WATERCRESS LN
2465,3/19/2022 13:59,Accident (minor),VINELAND RD / CONROY RD
2466,3/19/2022 13:47,Non-emergency assistance,3200 BLOCK WOODGATE BLVD
2467,3/19/2022 13:45,Unknown trouble,4200 BLOCK S SEMORAN BLVD
2468,3/19/2022 13:42,Hit and run (minor),1700 BLOCK MERCY DR
2469,3/19/2022 13:38,Stolen vehicle,1300 BLOCK S KIRKMAN RD
2470,3/19/2022 13:30,Theft by shoplifting,5800 BLOCK CONROY RD
2471,3/19/2022 13:20,Accident (minor),CURRY FORD RD / CONWAY RD
2472,3/19/2022 13:11,Disabled occupied vehicle,9400 BLOCK JEFF FUQUA BLVD N
2473,3/19/2022 12:59,Threats/assault,500 BLOCK W CHURCH ST
2474,3/19/2022 12:56,Theft,7300 BLOCK UNIVERSAL BLVD
2475,3/19/2022 12:48,Commercial B&E,400 BLOCK S KIRKMAN RD
2476,3/19/2022 12:45,Mentally-ill person (non-violent),3800 BLOCK VILLA ROSE LN
2477,3/19/2022 12:41,Hit and run (injuries),3900 BLOCK W COLONIAL DR
2478,3/19/2022 11:46,Stolen vehicle,N MAGNOLIA AVE / E COLONIAL DR
2479,3/19/2022 11:39,Lost/found property,9300 BLOCK JEFF FUQUA BLVD
2480,3/19/2022 11:30,Domestic disturbance,Restricted Address
2481,3/19/2022 11:11,Battery,4800 BLOCK NEW BROAD ST
2482,3/19/2022 18:57,Unknown trouble,4700 BLOCK OLIVE BRANCH RD
2483,3/19/2022 18:56,General disturbance,6000 BLOCK OAKBEND ST
2484,3/19/2022 18:55,911 hang up,1 BLOCK W GRANT ST
2485,3/19/2022 18:54,Domestic disturbance,Restricted Address
2486,3/19/2022 18:52,Suspicious person,600 BLOCK E COLONIAL DR
2487,3/19/2022 18:50,Residential alarm,1500 BLOCK RIDGEWOOD ST
2488,3/19/2022 18:49,Suspicious person,5500 BLOCK GATLIN AVE
2489,3/19/2022 18:47,Accident (minor),1500 BLOCK N MILLS AVE
2490,3/19/2022 18:39,General disturbance,4900 BLOCK INTERNATIONAL DR
2491,3/19/2022 18:34,Commercial alarm,1100 BLOCK W CENTRAL BLVD
2492,3/19/2022 18:32,Accident (minor),RALEIGH ST / S HIAWASSEE RD
2493,3/19/2022 18:31,General investigation,9400 BLOCK JEFF FUQUA BLVD
2494,3/19/2022 18:25,General disturbance,9400 BLOCK JEFF FUQUA BLVD
2495,3/19/2022 18:23,Suspicious person,200 BLOCK EOLA PKWY
2496,3/19/2022 18:22,Theft,3800 BLOCK S SEMORAN BLVD
2497,3/19/2022 18:20,Theft by shoplifting,5200 BLOCK INTERNATIONAL DR
2498,3/19/2022 18:20,Stolen vehicle,1100 BLOCK S ORANGE BLOSSOM TRL
2499,3/19/2022 18:09,Battery,3700 BLOCK E GRANT ST
2500,3/19/2022 17:54,Trespasser,1300 BLOCK W GORE ST
2501,3/19/2022 17:44,Suspicious person,3200 BLOCK LANDTREE PL
2502,3/19/2022 17:44,Suspicious vehicle,800 BLOCK W JEFFERSON ST
2503,3/19/2022 17:36,Drug violation,3900 BLOCK ROSEWOOD WAY
2504,3/19/2022 17:11,Theft,6500 BLOCK INTERNATIONAL DR
2505,3/19/2022 17:06,Domestic disturbance,Restricted Address
2506,3/19/2022 16:45,Stolen/lost tag,S DIVISION AVE / W ANDERSON ST
2507,3/19/2022 16:39,Theft by shoplifting,MILLENIA BLVD / CONROY RD
2508,3/19/2022 16:37,Domestic disturbance,Restricted Address
2509,3/19/2022 15:41,Suspicious incident,MERCY DR / W D JUDGE DR
2510,3/19/2022 15:30,Missing person - juvenile,4900 BLOCK INTERNATIONAL DR
2511,3/19/2022 21:04,Threats/assault,400 BLOCK E PINE ST
2512,3/19/2022 21:04,General disturbance,6000 BLOCK UNIVERSAL BLVD
2513,3/19/2022 21:02,House/business check,DOWDEN RD / NARCOOSSEE RD
2514,3/19/2022 21:02,Unknown trouble,INTERNATIONAL DR / S KIRKMAN RD
2515,3/19/2022 20:58,Residential alarm,12100 BLOCK ILLUSTRATION DR
